person;gender;age;books_per_year;intelligence_post;group;intelligence_pre
25;male;41;171;60;2;60
26;male;32;174;103;2;103
1;male;22;159;58;1;54.2
2;male;46;192;60;1;54
3;male;55;170;64;1;63.3
4;male;33;171;64;1;61.1
5;male;50;170;65;1;62.2
6;male;50;201;66;1;64
7;male;37;174;67;1;65
8;male;28;176;69;1;60.5
9;male;28;165;70;1;68.1
10;male;45;165;70;1;66.9
11;male;60;173;72;1;70.5
12;male;48;156;72;1;69
13;male;41;163;72;1;68.4
14;male;37;167;82;1;81.1
27;male;44;174;58;2;60.1
28;male;37;172;58;2;56
29;male;41;165;59;2;57.3
30;male;43;171;61;2;56.7
31;male;20;169;62;2;55
32;male;51;174;63;2;62.4
33;male;31;163;63;2;60.3
34;male;54;173;63;2;59.4
35;male;50;166;65;2;62
36;male;48;163;66;2;64
37;male;16;165;68;2;63.8
38;male;37;167;68;2;63.3
39;male;30;161;76;2;72.7
40;male;29;169;77;2;77.5
52;male;51;165;60;3;53
53;male;35;169;62;3;56.4
54;male;21;159;64;3;60.6
55;male;22;169;65;3;58.2
56;male;36;160;66;3;58.2
57;male;20;169;67;3;61.6
58;male;35;163;67;3;60.2
59;male;45;155;69;3;61.8
60;male;58;141;70;3;63
61;male;37;170;70;3;62.7
62;male;31;170;72;3;71.1
63;male;35;171;72;3;64.4
64;male;56;171;73;3;68.9
65;male;48;153;75;3;68.7
66;male;41;157;76;3;71
15;female;39;168;71;1;71.6
16;female;31;158;72;1;70.9
17;female;40;173;74;1;69.5
18;female;50;160;78;1;73.9
19;female;43;162;80;1;71
20;female;25;165;80;1;77.6
21;female;52;177;83;1;79.1
22;female;42;166;85;1;81.5
23;female;39;166;87;1;81.9
24;female;40;190;88;1;84.5
41;female;51;191;71;2;66.8
42;female;38;199;75;2;72.6
43;female;54;196;75;2;69.2
44;female;33;190;76;2;72.5
45;female;45;160;78;2;72.7
46;female;37;194;78;2;76.3
47;female;44;163;79;2;73.6
48;female;40;171;79;2;72.9
49;female;37;198;79;2;71.1
50;female;39;180;80;2;81.4
51;female;31;182;80;2;75.7
67;female;36;155;71;3;68.5
68;female;47;179;73;3;72.1
69;female;29;166;76;3;72.5
70;female;37;173;78;3;77.5
71;female;31;177;78;3;75.2
72;female;26;179;78;3;69.4
73;female;40;179;79;3;74.5
74;female;35;183;83;3;80.2
75;female;49;177;84;3;79.9
76;female;28;164;85;3;79.7
77;female;40;167;87;3;77.8
78;female;51;175;88;3;81.9
